Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;hotel;level_grade_review;level_hotel;month_str;month_num;year;delay_comment;date
Mandy;France;Chambre Supérieure;1;Décembre 2021;Famille; 3 décembre 2021;Super hotel;10.0;Tou lhotel ete super et tre joli ressemble a une hotel americaine;;;Disney's Newport Bay Club;2;6;décembre;12;2021;0;2021-12-01
Demy;Belgique;Chambre Supérieure;1;Décembre 2021;Groupe; 2 décembre 2021;Mauvais rapport qualité/prix. Pire que dans le reste du monde Disney;4.0;"- Une majorité du personnel est sympathique.
- La literie est très bonne
- La qualité de la nourriture dans les 2 restaurants est bonne.
- Le parking est spacieux et proche.
- La proximité avec les parcs Disneyland.";"- Une partie du personnel est très désagréable.
- Les temps d’attentes aux restaurants, réception, conciergerie et ascenseurs sont longs même en semaine hors congés scolaire. 
- Les chambres n’étaient toujours pas prêtes à 19h15 (check in à partir de 15h).
- Les couloirs pour accéder aux chambres sont trop peu nettoyés. 
- Il y a trop peu de personnel à la réception à certains moments. 
- Les boissons sont servies dans des verres de 20cl aux restaurants alors que l’on paye (trop cher) pour des boissons de 33cl. Ceci n’était pas un cas isolé et le personnel est au courant—> c’est donc du vol selon moi et une fraude à la tva. 
- Le wifi est médiocre.
- Il est impossible de régler correctement la température de la douche. Ceci n’est pas un cas isolé. 
- Les chambres sont mal agencées: Prises loin des lits et trop peu de place pour les bagages. 
- Incertitude quant à savoir si l’eau en bouteilles dans les chambres est gratuite ou non.
- Plats chauds au petit déjeuner sont tièdes.";;Disney's Newport Bay Club;0;6;décembre;12;2021;0;2021-12-01
Gulay;France;Chambre Supérieure;1;Novembre 2021;Famille; 2 décembre 2021;chambres beaucoup trop loin et non communicante alors que c été notre demande;4.0;pas trop loin de l entrée du parc et la raconter des personnages.;"réservation au restaurant pour 9 et on a voulu nous séparer. Et puis, elle nous a fait fortement sentir son agacement.
désolée d être venus en famille et de vouloir manger en famille surtout pour un buffet à ce prix sans rien d exceptionnel";;Disney's Newport Bay Club;0;6;novembre;11;2021;1;2021-11-01
Nicolas;France;Chambre Supérieure;2;Décembre 2021;Famille; 1 décembre 2021;Décevant;4.0;Le personnel dans son ensemble et L'emplacement de l'hôtel. Les selfies avec les mascottes disney;La non information de la fermeture de la piscine pendant notre séjour. Le tarifs des petits déjeuners.;;Disney's Newport Bay Club;0;6;décembre;12;2021;0;2021-12-01
Clarisse;France;Chambre Supérieure;1;Novembre 2021;Groupe; 30 novembre 2021;Super séjour je recommande vivement !!!;10.0;tout était parfait !!!! rien à redire !;ras;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Stephane;France;Chambre Supérieure;1;Novembre 2021;Famille; 30 novembre 2021;Plus jamais pour nous...;3.0;La literie;"- Planche de salle de bain cassée....
- Pas de glaçon à l étage...a quoi sert le sceau ?
- Piscine notée ouverte alors qu elle etait fermée.....très très déçu..
- 55 minutes pour avoir les clés de chambre .......une file d attente est prévue et des rigolos passent au bout .... personne ne dit rien...
3 ème fois que nous allons chez vous et 2 belles déceptions, sans tenir vos paroles de geste commercial...c'était la derniere fois pour nous.";2 personnes ont trouvé ce commentaire utile. Utile Pas utile;Disney's Newport Bay Club;0;6;novembre;11;2021;0;2021-11-01
Claire;France;Chambre Supérieure;1;Novembre 2021;Famille; 29 novembre 2021;A refaire absolument !!;9.0;Le restaurant était délicieux !!;;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Alexandre;France;Chambre Supérieure - Côté Lac;1;Novembre 2021;Voyageur individuel; 28 novembre 2021;Génial;10.0;"Hôtel top
Jolie petite vue sur le lac";Matelas un peu dur a mon gout;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Géromine;France;Chambre Supérieure - Côté Lac;1;Novembre 2021;Famille; 28 novembre 2021;Magique;10.0;"La vue sur le lac est magnifique, 
la proximité avec disney village
Le personnel très gentil";"La télé fonctionnait mal (traits noir, pas d'image mais seule le son)
Il manquait une brosse pour les toilettes
Peut être faudrait-il refaire un coup de peinture dans la salle de bain ?";;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Narcisse;France;Chambre Supérieure;1;Novembre 2021;Couple; 27 novembre 2021;a fuir.;1.0;l emplacement de l hôtel à proximité du parc est idéal;"le prix de la chambre et du restaurant est disproportionné par rapport à la qualité proposée : on paye plus les royalties que prestation de qualité.
les travaux de rénovation de l hôtel se font en 3x8… notre séjour à été agrémenté de bruit de chantier entre 1h et 2h du mat.";;Disney's Newport Bay Club;0;6;novembre;11;2021;0;2021-11-01
Isabelle;France;Chambre Supérieure - Côté Lac;2;Novembre 2021;Famille; 26 novembre 2021;Génialissime pour les parents et les enfants ! Je recommande chaleureusement;10.0;"Chambre très agréable, avec vue sur le lac et la piscine de l'hôtel, et joliment décorée avec un sapin de Noël
Personnel très accueillant et sympathique 
Petit déjeuner exceptionnel et vraiment très bon
Bar : ambiance chaleureuse et jolie vue";rien;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Jessica;France;Chambre Supérieure;1;Novembre 2021;Famille; 24 novembre 2021;Décevant;4.0;Buffet bien garni, avec du choix pour tous;Mettre du jus d'orange pressé et pas en bouteille;;Disney's Newport Bay Club;0;6;novembre;11;2021;0;2021-11-01
Harmony;France;Chambre Supérieure;1;Novembre 2021;Famille; 23 novembre 2021;je m attendez à un établissement rénové que j ai finalement trouvé viellau;5.0;le restaurant buffet très agréable;pas très propre le télécommande de la télé était très sale;;Disney's Newport Bay Club;0;6;novembre;11;2021;0;2021-11-01
Oceane;France;Chambre Supérieure - Côté Lac;1;Novembre 2021;Famille; 22 novembre 2021;Mal dormi;4.0;Facilité du parking- grandeur de la chambre- bon petit déjeuner et personnel au petit déjeuner et dans le hall sympathique- proximité du parc Disneyland;"Mauvais accueil de la Reception et aucune explications de l’hôtel en terminant par « vous verrez bien si demain au petit déjeuner ils ont encore de la place ». Lit de très mauvaise qualité et d’une petite dimension! La propreté de la salle de bain laissait franchement à désirer! Bruits importants dans les couloirs; Du coup une nuit plus que moyenne..";;Disney's Newport Bay Club;0;6;novembre;11;2021;0;2021-11-01
Ilona;France;Chambre Supérieure - Côté Lac;1;Novembre 2021;Famille; 22 novembre 2021;Excellent !;9.0;L’emplacement de la chambre était parfait !;Le petit-déjeuner pas pris car trop chère;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Sophie;France;Chambre Club Compass - Côté Lac (2 Adultes);1;Novembre 2021;Couple; 21 novembre 2021;Séjour impeccable à recommander;9.0;"Cadre magnifique, proche du parc. 
Prestations attendues et au niveau d’un 4 étoiles. 
Nous avons pris la formule compass qui nous permet de bénéficier d’un goûter (boisson offerte et buffet à volonté et petit-déjeuner à part (salle réservée au compass). Petit-déjeuner avec énormément de choix.
Chambre spacieuse et calme. 
Personnel très agréable et très disponible 
Pas pu utiliser la piscine par manque de temps mais nous y retournerons. 
Hôtel à conseiller";Bruit dans les parties communes en raison d’un nombre important de clients et de leurs passages notamment pendant le petit déjeuner;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Aidi;France;Chambre Supérieure;3;Novembre 2021;Famille; 21 novembre 2021;Exceptionnel;10.0;"L hôtel est juste magnifique
Il y fait bon vivre et le personnel est super sympa et aux petits soins";La télé trop petite et le sèche cheveux pas top pas assez de table de chevet et de prise;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Stephane;France;Chambre Supérieure - Côté Lac;2;Novembre 2021;Famille; 21 novembre 2021;Je ne recommande pas;3.0;"Les chambres, l’accueil 
Service déplorable 
La nourriture une horreur 
Ce n’est pas un 4 étoiles 
Je déconseille 
Et éviter les restaurants";;;Disney's Newport Bay Club;0;6;novembre;11;2021;0;2021-11-01
Lapin;France;Chambre Club Compass - Côté Lac (2 Adultes);1;Novembre 2021;Couple; 20 novembre 2021;Exceptionnel;10.0;Arrivés en retard à l'hôtel et donc pour notre réservation au restaurant, l'hôtesse a fait porter nos bagages dans la chambre et nous a accompagné directement au restaurant. Elle nous avait dit aussi qu'ils nous avaient préparé une petite surprise. En effet, quand nous sommes arrivés dans la chambre, elle s'était transformé en suite ! Merci encore pour cette magnifique surprise !;;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Caroline;France;Chambre Supérieure - Côté Lac;3;Novembre 2021;Famille; 19 novembre 2021;un séjour féerique dans un hôtel merveilleux;10.0;le buffet du petit déjeuner copieux , large choix , le restaurant aussi , chambre très confortable et surtout le personnel adorable et à l'écoute , très professionnel , c'est la cinquième fois que je viens avec mon fils et on reviendra l'année prochaine !;;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Valène;France;Chambre Supérieure - Côté Lac;1;Novembre 2021;Famille; 19 novembre 2021;Fabuleux ;9.0;"La literie 
les serviettes de bain";Pas très bien insonorisé.;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Laurie;France;Chambre Supérieure;1;Novembre 2021;Famille; 18 novembre 2021;la magie Disney au rendez-vous;9.0;hôtel très beau, spacieux et cosy. une équipe agréable toujours prête à nous aider ou répondre à nos interrogations. Restaurant de l’hôtel en buffet à volonté, très fin, et un large choix pour tout.;"obliger de repasser par la réception empli de monde le soir pour faire activer notre pass comme clé de chambre alors que l’enregistrement de mon arrivée avait été faite le matin. 
les distributeurs de boissons chaudes ne sont pas indiquées dans les étages, c’est embêtant.";;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Ludivine;France;Chambre Supérieure;1;Novembre 2021;Couple; 17 novembre 2021;Fabuleux ;9.0;"La proximité avec le parc disneyland 
La gentillesse du personnel 
Le service de bagagerie super pratique";"L'insonorisation de la chambre
Il n'y a pas de brosse pour les toilettes 
La pression du pommeau de douche est trop faible";;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Serbruyns;Belgique;Chambre Supérieure;1;Novembre 2021;Famille; 17 novembre 2021;Mauvais;1.0;La deco;Personnel désagréable, hôtel tres sale, peu de personnel, trop cher pour la qualité;;Disney's Newport Bay Club;0;6;novembre;11;2021;0;2021-11-01
Emeline;France;Chambre Supérieure - Côté Lac;1;Novembre 2021;Famille; 15 novembre 2021;Fabuleux ;9.0;Tout l'ensemble;Les repas un peu trop cher;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Mickael;France;Chambre Supérieure - Côté Lac;1;Octobre 2021;Famille; 13 novembre 2021;Déception.;4.0;L’emplacement par rapport au parc.;Trop de queue et trop cher pour ce que c’est.;;Disney's Newport Bay Club;0;6;octobre;10;2021;1;2021-10-01
Laila;Royaume-Uni;Chambre Supérieure - Côté Lac;2;Octobre 2021;Famille; 13 novembre 2021;Gâché par l’hôtel et son absence de service;4.0;Le parc Disney land avec les enfants -;Aucun service dans cet hotel - la chambre n’a pas été faite pendant toute la durée du séjour à cause d’une grève du personnel - pour le prix payé c une honte - nous avons demandé des draps pour les enfants - nous ne les avons jamais reçu. La restauration est hors de prix est quasiment immangeable - une honte - a éviter.;;Disney's Newport Bay Club;0;6;octobre;10;2021;1;2021-10-01
Jonathan;France;Chambre Supérieure;1;Novembre 2021;Famille; 11 novembre 2021;magique et exceptionnel;10.0;le personnel très agréable avec le sourire.;tout c’est bien passé.;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Bernard;Belgique;Chambre Supérieure - Côté Lac;3;Novembre 2021;Famille; 10 novembre 2021;Fabuleux ;9.0;l’infrastructure et la localisation …;;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Emmanuelle;France;Chambre Supérieure;1;Novembre 2021;Famille; 10 novembre 2021;Assez médiocre ;3.0;déçu;lits petits, salle de bain moisi, hall d’entrée sale. Chambres loins labyrinthe. Télé petite. Pas café dans les chambres cartes crédité machine dans couloir si je ne demande pas personne nous prévient !;;Disney's Newport Bay Club;0;6;novembre;11;2021;0;2021-11-01
Johan;France;Chambre Supérieure;1;Novembre 2021;Couple; 10 novembre 2021;très bon hôtel;9.0;piscine et employe;;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Maria;Suisse;Chambre Supérieure avec Terrasse;1;Novembre 2021;Famille; 9 novembre 2021;Séjour trop petit;10.0;Tout me plais. Service excellent. Personnel excellent.;J'ai été surprise qu'il n'y avait pas de sachets de café soluble avec la bouilloire et les sachets de thé;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Appere;France;Chambre Supérieure;1;Novembre 2021;Couple; 9 novembre 2021;Ce rêve bleu;10.0;La proximité vis à vis des parcs, l'environnement, la piscine;Chaleur dans la chambre, impossible de régler à moins de 19 degrés.;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Michael;France;Chambre Supérieure - Côté Lac;1;Novembre 2021;Famille; 7 novembre 2021;ne jamais réservé via Booking!!!;3.0;la gentillesse du personnel !!!;la propreté de la salle de bain et les poussières pas faites!!;;Disney's Newport Bay Club;0;6;novembre;11;2021;0;2021-11-01
Valette;France;Chambre Supérieure;1;Novembre 2021;Famille; 7 novembre 2021;Satisfait et facile avec des très jeunes enfants;9.0;"Taille des chambres bonne literie 
Emplacement par rapport au parc
Organisation générale 
Superbe piscine";Le prix du petit-déjeuner pour des enfants de moins de 5 ans très chers;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Ophélie;France;Chambre Supérieure;1;Novembre 2021;Couple; 5 novembre 2021;Vive le compass club;10.0;Le compass club;Le sauna et hammam fermé et « jaccuzi » sans bulles;;Disney's Newport Bay Club;2;6;novembre;11;2021;0;2021-11-01
Nathalie;France;Chambre Supérieure;2;Novembre 2021;Famille; 3 novembre 2021;ne vaut pas ses 4 étoiles;3.0;l’emplacement;salle de bain avec du tartre. pas de café en chambre. personnel qui ne nous a rien expliqué. pas de changement des bouteilles d’eau le deuxième jour.;;Disney's Newport Bay Club;0;6;novembre;11;2021;0;2021-11-01
Monique;France;Chambre Supérieure - Côté Lac;1;Octobre 2021;Famille; 2 novembre 2021;Déçu , mauvais rapport qualité prix;5.0;Impossible de prendre un petit déjeuner sauf à faire 45 minutes de queue;;;Disney's Newport Bay Club;0;6;octobre;10;2021;1;2021-10-01
Nathalie;Suisse;Chambre Supérieure;1;Octobre 2021;Famille; 28 octobre 2021;déçue;5.0;j’ai aimé la sécurité , la gentillesse du personnel et l’organisation;la nourriture était de piètre qualité , la baignoire était bouchée , la salle de bain n’était pas propre;;Disney's Newport Bay Club;0;6;octobre;10;2021;0;2021-10-01
Marjorie;France;Chambre Supérieure;1;Octobre 2021;Famille; 25 octobre 2021;Exceptionnel;10.0;L'accueil, les prestations, le lit confortable...;RAS;;Disney's Newport Bay Club;2;6;octobre;10;2021;0;2021-10-01
Claude;France;Chambre Supérieure;1;Octobre 2021;Famille; 25 octobre 2021;Superbe séjour;10.0;l’accueil exceptionnel! MERCI Sarah !!!;;;Disney's Newport Bay Club;2;6;octobre;10;2021;0;2021-10-01
Laetitia;Suisse;Chambre Supérieure;3;Octobre 2021;Famille; 23 octobre 2021;Décevant;4.0;L’emplacement, l’aménagement extérieur avec le lac;"Le restaurant, nourriture très moyenne et organisation chaotique. Pas assez de personnages Disney. Les chambres n’ont pas été très bien nettoyées (chiffons de nettoyage, laissés dans la chambre pendant deux jours et deux capsules de café pour les trois jours de séjour) et nous n’avons pas reçu la chambre mentionnée lors de la réservation. 
Nous avons été déçu par rapport à notre dernière visite.";;Disney's Newport Bay Club;0;6;octobre;10;2021;0;2021-10-01
Amndine;Belgique;Chambre Supérieure;2;Septembre 2021;Famille; 22 octobre 2021;Passable;5.0;On aime tout au newport;"Sauf, les chambres qu ils laissent a booking. En effet, de la porte d entre de l hotel à notre chambre, nous n etions pas loin du kilometre!
Dommage de ne pas etre plus fair play et de laisser des chambrees a l emplacement acceptable. Surtout quand on a un bebe!";;Disney's Newport Bay Club;0;6;septembre;9;2021;1;2021-09-01
James;France;Chambre Supérieure;2;Octobre 2021;Famille; 21 octobre 2021;extrêmement déçue;3.0;"très déçue pour 600€ les 2 nuits :
pas de ménage entre les 2 nuits , les serviettes non changées, une bouilloire à disposition mais pas de café/ thé/ sucre , 
les tiroirs de la commode ne ferment pas, pas de klinex dans la boîte à klinex";;;Disney's Newport Bay Club;0;6;octobre;10;2021;0;2021-10-01
Nadia;France;Chambre Supérieure;1;Septembre 2021;Couple; 21 octobre 2021;Assez médiocre ;3.0;La proximité avec le parc;Le manque d’hygiène;;Disney's Newport Bay Club;0;6;septembre;9;2021;1;2021-09-01
Audrey;France;Chambre Supérieure;1;Octobre 2021;Famille; 20 octobre 2021;Rapport qualité prix médiocre;5.0;le contact avec le personnel, ils sont au niveau d’un 4 étoiles.;L’emplacement de la chambre, le ménage (nous avons retrouvé une paire de chaussettes qui ne nous appartenait pas), bruit de canalisation, pas de mini bar;;Disney's Newport Bay Club;0;6;octobre;10;2021;0;2021-10-01
Rossignol;France;Chambre Supérieure - Côté Lac;1;Octobre 2021;Couple; 19 octobre 2021;trop chère par rapport au rêve Disney;4.0;la vue et magnifique dans la chambre mes il n’y que ça avec le confort , et la navette toute les 12 min;le prix , 322€ la nuitée pour 2 pour une chambre vue lac sans billet avec un sèche cheveux des années 90 un lit bebe déjà déplié qui n’a rien à faire la … sans petit déjeuné , et à l’arrivé on ne trouve pas ma réservation, 15 20 minute pour avoire un assenceur vraiment sa ne vos pas sont prix ….. la déco et vielle et la télé et minuscule pas de mini bar . en plus lors de notre visite une manifestation a eux lieu très dérangeante car des vigiles étais là en masse , le petit déjeuné a 23 € …. vraiment déçu !;;Disney's Newport Bay Club;0;6;octobre;10;2021;0;2021-10-01
Mc37;France;Chambre Supérieure - Côté Lac;1;Octobre 2021;Famille; 18 octobre 2021;Hôtel décevant / il baigne dans son jus !!!;5.0;Localisation de l'hôtel;Hôtel vétuste / prix complètement en décalage avec le niveau de prestation;;Disney's Newport Bay Club;0;6;octobre;10;2021;0;2021-10-01
Jonathan;France;Chambre Supérieure;3;Octobre 2021;Famille; 18 octobre 2021;Déçu.;4.0;L’hôtel est beau, le personnel est agréable.;La chambre n’a pas été faite par les femmes de chambres pour les 3 nuits. Honteux. Le manageur nous a seulement suggéré d’écrire un mail de mécontentement. Honteux pour un 4 étoiles. Une manifestation au porte de l’hôtel pendant tout le séjour. Restaurant de l’hôtel décevant. Seul l’un d’entre eux été ouvert, donc surpeuplé. Nous avons été très déçus.;;Disney's Newport Bay Club;0;6;octobre;10;2021;0;2021-10-01
Vanlanden;Belgique;Chambre Supérieure;1;Octobre 2021;Couple; 17 octobre 2021;Bon séjour;9.0;Les lits la propreté de la salle de bain et l'accueil très chaleureux du personnel et surtout le calme dans notre chambre.;La chambre n'était pas terminée avant notre arrivée chambre peu aspiré. Déjeuner assez cher mais pas un scandale non plus. Et surtout le non respect de certains clients pour les mesures sanitaires.;;Disney's Newport Bay Club;2;6;octobre;10;2021;0;2021-10-01
Imbert;France;Chambre Supérieure;1;Octobre 2021;Famille; 17 octobre 2021;Décevant;4.0;Trop attente a la réception alors que nous étions seul, et il on mis 30 minutes à retrouver notre réservation faite via Booking;Calme;;Disney's Newport Bay Club;0;6;octobre;10;2021;0;2021-10-01
Gwendoline;France;Chambre Supérieure;1;Octobre 2021;Couple; 15 octobre 2021;Exceptionnel;10.0;L’hôtel est très joli, un décor qui fait rêver ( en bonus, on avons vu minnie 🤪);L’hôtel devait m’envoyer un sms pour connaître mon numéro de chambre mais cela n’a pas été fait. Ce qui nous a obligé à rentrer à l’hôtel et nous avons été en retard à notre réservation a un restau.;;Disney's Newport Bay Club;2;6;octobre;10;2021;0;2021-10-01
Fhetin;France;Chambre Supérieure - Côté Lac;3;Septembre 2021;Famille; 12 octobre 2021;exagérément onéreux. pas de proximité avec les mascot et pas préciser ! trop d'attente pour le prix;5.0;la proximité avec le parc;pas chaleureux;;Disney's Newport Bay Club;0;6;septembre;9;2021;1;2021-09-01
Cécile;France;Chambre Supérieure;1;Octobre 2021;Famille; 9 octobre 2021;Mauvais;1.0;Proximité avec le parc;Pas de réactivité si souci dans chambre;;Disney's Newport Bay Club;0;6;octobre;10;2021;0;2021-10-01
Iakimov;France;Chambre Supérieure - Côté Lac;1;Septembre 2021;Couple; 7 octobre 2021;Exceptionnel;10.0;Nous avons été surclassés vers une chambre Compass Club après l'appréciable et courtoise attention d'un personnel à l'accueil.;;;Disney's Newport Bay Club;2;6;septembre;9;2021;1;2021-09-01
Sebastien;France;Chambre Supérieure;1;Juillet 2021;Couple; 29 septembre 2021;Exceptionnel;10.0;Bel établissement;Chambre Excentrée de l’accueil , des commodités …etc etc ( peut être parce que nous réservons en passant par Booking.com 😞);;Disney's Newport Bay Club;2;6;juillet;7;2021;2;2021-07-01
José;France;Chambre Supérieure;2;Septembre 2021;Couple; 26 septembre 2021;déçu;5.0;un belle établissement avec un personnel super;"c’était notre anniversaire de mariage 10ans, j’avais demandé une chambre avec un lit double avec vu sur lac…
on s’est retrouvé dans une chambre avec 2 lits et vu sur des cailloux..
merci a la reception une chambre avec un lit double mais une petite vue sur le lac.
Une formule à 800 euro pas de petit déjeuner … le prix par personne est de 28euro.";;Disney's Newport Bay Club;0;6;septembre;9;2021;0;2021-09-01
Fanny;France;Chambre Supérieure;1;Septembre 2021;Famille; 26 septembre 2021;Week-end Disneyland Paris;10.0;Le cadre est magnifique, la façade de l’hôtel est sublime, le personnel est très agréable. Nous avons apprécié la piscine.;La plomberie de la salle de bain portée d’énorme traces de calcaire au niveau du mitigeur et trace de rouille également sur une petite étagère en métal dans la baignoire.;;Disney's Newport Bay Club;2;6;septembre;9;2021;0;2021-09-01
Marjorie;France;Chambre Supérieure;1;Septembre 2021;Famille; 24 septembre 2021;Fabuleux ;9.0;Tout. Le lieu, l’ambiance, la propreté. La qualité d’un 4 étoiles. La chambre était grande. Nous n’avons pas fais le petit déjeuner ni le repas du soir. La prochaine fois;Rien;;Disney's Newport Bay Club;2;6;septembre;9;2021;0;2021-09-01
Julia;France;Chambre Supérieure;1;Septembre 2021;Voyageur individuel; 22 septembre 2021;bof;5.0;"peu d'éclairage en chambre
tres long au guichet pour prendre 1 chambre";;;Disney's Newport Bay Club;0;6;septembre;9;2021;0;2021-09-01
Loan;France;Chambre Club Compass - Côté Lac (2 Adultes);1;Septembre 2021;Famille; 22 septembre 2021;Fabuleux ;9.0;"La literie est exceptionnelle, et le Compass Club offre beaucoup de ""privilèges"" / d'expériences ++ qui donnent envie de revenir au plus vite!";"Le sèche cheveu et le téléphone font un peu vieux, et la télévision est un peu petite.
Mais ce sont des détails! Le séjour était au delà de nos attentes!!";;Disney's Newport Bay Club;2;6;septembre;9;2021;0;2021-09-01
Laura;Belgique;Chambre Club Compass - Côté Lac (2 Adultes);1;Septembre 2021;Famille; 21 septembre 2021;Exceptionnel;10.0;Nous avons été surclassés donc c'était une très belle surprise.;Le seul bémol est que la chambre était froide malgré le changement du termostat.;;Disney's Newport Bay Club;2;6;septembre;9;2021;0;2021-09-01
Sasu;France;Chambre Supérieure - Côté Lac;2;Septembre 2021;Couple; 17 septembre 2021;Exceptionnel;10.0;Très belle chambre et très bel hôtel qui nous permet d'être rapidement sur le parc. Nous avons beaucoup apprécié ces 2 jours qui sont passés trop vite;;;Disney's Newport Bay Club;2;6;septembre;9;2021;0;2021-09-01
Anthony;France;Chambre Supérieure;2;Septembre 2021;Couple; 15 septembre 2021;Décevant de A à Z;4.0;La proximité avec le parc Disneyland, le parking gratuit.;"Chambre vétuste, à l’hygiène approximative (traces sur les murs, taches sur les draps… ) 
Finition affreuses pour une chambre payée 250€ pour une nuit sans petit déjeuner. 
Matelas à ressort bas de gamme. 
Meubles abimés";;Disney's Newport Bay Club;0;6;septembre;9;2021;0;2021-09-01
Sammy;France;Chambre Supérieure;1;Septembre 2021;Famille; 12 septembre 2021;Overpriced et overrated;5.0;La propreté générale est bonne, la piscine très agréable.;"Immense et trop long pour se déplacer dans l’hôtel, les services de bases aux abonnés absents sans rajouter d’extras hyper coûteux, impossible d’avoir un room sercice sans payer l’extra compass club, aucun créneaux pour dîner, petit déjeuner non inclus a 28€ par personne dans une chambre a +500€ c’est inimaginable ailleurs. Du vol pur et simple. Toilettes pas très bien nettoyées, des bouteilles de produits ménagers oubliés dans les couloirs pendant + d’une dizaine d’heures sans que personne ne remarque, plateaux de room service de dîners encore au sol dans les couloirs a 8:30, portes des laundry room ouvertes a tous les étages, pas super sexy. 
Réservation pour un anniversaire d’un enfant…zéro attention particulière a part le gâteaux a 35€ proposé par la hotline pour un dîner a 18h… bref la magie Disney est toute relative.";;Disney's Newport Bay Club;0;6;septembre;9;2021;0;2021-09-01
Delphine;Belgique;Chambre Club Compass - Côté Lac (2 Adultes);1;Septembre 2021;Famille; 8 septembre 2021;Séjour parfait;9.0;Le personnel très accueillant, agréable, sympathique et disposé à aider. Les services liés au compass club étaient au top. La literie très confortable et la chambre spacieuse.;Petite crasse dans la chambre;;Disney's Newport Bay Club;2;6;septembre;9;2021;0;2021-09-01
Thomas;France;Chambre Supérieure - Côté Lac;1;Août 2021;Couple; 7 septembre 2021;Féerique;9.0;La vue sur le lac et la proximité avec les parcs;Le prix est excessivement élevé;;Disney's Newport Bay Club;2;6;août;8;2021;1;2021-08-01
Sarah;France;Chambre Supérieure;1;Août 2021;Famille; 5 septembre 2021;Emplacement et accueil top, il faut toutefois être préparé à la foule;9.0;"Excellent accueil et chambres très confortables.
Super pour les enfants d’avoir la visite de Mickey et consorts dans l’hôtel.
Proximité avec le parc.";Malgré la gentillesse des équipes, on se sent anonyme dans cette immensité.;;Disney's Newport Bay Club;2;6;août;8;2021;1;2021-08-01
Patrick;France;Chambre Supérieure - Côté Lac;1;Août 2021;Famille; 2 septembre 2021;beaucoup, BEAUCOUP trop cher pour ce que c'est;5.0;"situation géographique
ambiance Disney";Aucun équipement dans la chambre, pas un sachet de thé, pas de quoi se faire un café, pas de boisson, pas de frigo, à 500 euros la nuit, c'est complètement abusif. Au même prix, dans n'importe quel hôtel, on a beaucoup plus d'équipement que ça. Lits inconfortables (sommiers durs comme des planches !). Couloirs de 100 km uniformes, ambiance usine (ou Shining, au choix). On avait demandé une vue lac (supplément), pas de vue. Ascenseurs bloqués par protocole covid, prévoyez de monter à pied, sinon 30 mn d'attente. Des contrôles toutes les 5 minutes, bracelets, détecteurs de métaux, des pass en veux tu en voilà, avec des FILES D'ATTENTE de gens dans l'hôtel alors qu'on vient (ou on va) en manger, des files d'attentes. Insupportable. Au total : trop de carton pâte et de poudre aux yeux pour des prestations de gamme très moyenne. Au lieu de tout mettre sur la sécurité avec des protocoles dignes du G20, ils feraient mieux de se concentrer sur les clients. Bref, terminé, nous ne reviendrons pas.;;Disney's Newport Bay Club;0;6;août;8;2021;1;2021-08-01
Lindsay;France;Chambre Supérieure - Côté Lac;1;Août 2021;Famille; 1 septembre 2021;Magnifique séjour;9.0;"La beauté du lieu, être près du Disney Village
L'animation dans l'hôtel et le personnel très aimable.
La piscine couverte et extérieure.";J'avais pris une chambre vue sur le lac, pensant voir tout le lac et en face l'hôtel New-York Marvel, mais je me suis retrouvée de côté, derrière un des phares, avec vue sur un petit bout de lac et surtout l'entrée de l'hôtel Newport Bay Club. Dommage !!;1 personne a trouvé ce commentaire utile. Utile Pas utile;Disney's Newport Bay Club;2;6;août;8;2021;1;2021-08-01
Cynthia;France;Chambre Club Compass (2 Adultes);1;Août 2021;Couple; 29 août 2021;Magnifique;10.0;Quel hôtel ! Tout était parfait en plus nous avons eu le droit à un surclassement en suite pour mon anniversaire. Les cast au top du top.;RAS !;;Disney's Newport Bay Club;2;6;août;8;2021;0;2021-08-01
